Var,Trt,Sample Name,Experiment,Ct Mean,Quantity Mean
A,Base,A1-1,1,25.19642639,5107.863037
A,Base,A1-1,1,25.19642639,5107.863037
A,Base,A1-2,1,24.67402458,7206.454102
A,Base,A1-2,1,24.67402458,7206.454102
A,Base,A1-3,1,26.09685517,2858.89563
A,Base,A1-3,1,26.09685517,2858.89563
A,Base,A1-4,1,27.45556736,1150.288941
A,Base,A1-4,1,27.45556736,1150.288941
A,Base,A1-5,1,24.94727898,6072.756104
A,Base,A1-5,1,24.94727898,6072.756104
A,Base,A1-6,1,24.96641445,6001.305909
A,Base,A1-6,1,24.96641445,6001.305909
A,Base + ILeVO,A4-1,1,28.78489209,478.477768
A,Base + ILeVO,A4-1,1,28.78489209,478.477768
A,Base + ILeVO,A4-2,1,27.18957901,1504.418152
A,Base + ILeVO,A4-2,1,27.18957901,1504.418152
A,Base + ILeVO,A4-3,1,18.60250473,395663.3282
A,Base + ILeVO,A4-3,1,18.60250473,395663.3282
A,Base + ILeVO,A4-4,1,23.53630162,15263.03125
A,Base + ILeVO,A4-4,1,23.53630162,15263.03125
A,Base + ILeVO,A4-5,1,25.33071709,4232.341065
A,Base + ILeVO,A4-5,1,25.33071709,4232.341065
A,Base + ILeVO,A4-6,1,27.17948246,1329.954041
A,Base + ILeVO,A4-6,1,27.17948246,1329.954041
B,Base,B1-1,1,25.63976002,3479.072266
B,Base,B1-1,1,25.63976002,3479.072266
B,Base,B1-2,1,26.87468911,1617.075867
B,Base,B1-2,1,26.87468911,1617.075867
B,Base,B1-3,1,26.36867047,2303.588868
B,Base,B1-3,1,26.36867047,2303.588868
B,Base,B1-4,1,27.59404755,1021.936096
B,Base,B1-4,1,27.59404755,1021.936096
B,Base,B1-5,1,24.93064595,5504.144043
B,Base,B1-5,1,24.93064595,5504.144043
B,Base,B1-6,1,24.66733265,6453.206299
B,Base,B1-6,1,24.66733265,6453.206299
B,Base + ILeVO,B4-1,1,29.54760552,389.7491303
B,Base + ILeVO,B4-1,1,29.54760552,389.7491303
B,Base + ILeVO,B4-2,1,32.76541138,44.9082222
B,Base + ILeVO,B4-2,1,32.76541138,44.9082222
B,Base + ILeVO,B4-3,1,28.11082936,890.162506
B,Base + ILeVO,B4-3,1,28.11082936,890.162506
B,Base + ILeVO,B4-4,1,29.93517399,265.2986527
B,Base + ILeVO,B4-4,1,29.93517399,265.2986527
B,Base + ILeVO,B4-5,1,27.77734471,1061.921448
B,Base + ILeVO,B4-5,1,27.77734471,1061.921448
B,Base + ILeVO,B4-6,1,32.5741024,49.24468995
B,Base + ILeVO,B4-6,1,32.5741024,49.24468995
A,Base,A1-1,2,35.15959565,116332.4831
A,Base,A1-1,2,35.15959565,116332.4831
A,Base,A1-2,2,35.47338119,92128.2912
A,Base,A1-2,2,35.47338119,92128.2912
A,Base,A1-3,2,35.32558919,100440.7296
A,Base,A1-3,2,35.32558919,100440.7296
A,Base,A1-4,2,35.02189761,121074.7543
A,Base,A1-4,2,35.02189761,121074.7543
A,Base,A1-5,2,34.18675736,210338.4867
A,Base,A1-5,2,34.18675736,210338.4867
A,Base,A1-6,2,35.15705508,110781.7812
A,Base,A1-6,2,35.15705508,110781.7812
A,Base + ILeVO,A4-1,2,37.19436654,32968.55217
A,Base + ILeVO,A4-1,2,37.19436654,32968.55217
A,Base + ILeVO,A4-2,2,35.36898608,98867.74828
A,Base + ILeVO,A4-2,2,35.36898608,98867.74828
A,Base + ILeVO,A4-3,2,35.25064097,104498.284
A,Base + ILeVO,A4-3,2,35.25064097,104498.284
A,Base + ILeVO,A4-4,2,37.01184474,37325.04057
A,Base + ILeVO,A4-4,2,37.01184474,37325.04057
A,Base + ILeVO,A4-5,2,36.98195153,37428.16699
A,Base + ILeVO,A4-5,2,36.98195153,37428.16699
A,Base + ILeVO,A4-6,2,39.08604329,10728.75781
A,Base + ILeVO,A4-6,2,39.08604329,10728.75781
B,Base,B1-1,2,35.68037684,81838.96775
B,Base,B1-1,2,35.68037684,81838.96775
B,Base,B1-2,2,36.72027317,43974.55941
B,Base,B1-2,2,36.72027317,43974.55941
B,Base,B1-3,2,33.6455224,271567.4872
B,Base,B1-3,2,33.6455224,271567.4872
B,Base,B1-4,2,35.23435991,106345.8315
B,Base,B1-4,2,35.23435991,106345.8315
B,Base,B1-5,2,36.08526985,63702.01317
B,Base,B1-5,2,36.08526985,63702.01317
B,Base,B1-6,2,37.2982539,31389.72914
B,Base,B1-6,2,37.2982539,31389.72914
B,Base + ILeVO,B4-1,2,36.78372078,43882.94831
B,Base + ILeVO,B4-1,2,36.78372078,43882.94831
B,Base + ILeVO,B4-2,2,38.65695993,13850.27753
B,Base + ILeVO,B4-2,2,38.65695993,13850.27753
B,Base + ILeVO,B4-3,2,37.07656116,36761.05651
B,Base + ILeVO,B4-3,2,37.07656116,36761.05651
B,Base + ILeVO,B4-4,2,39.40334732,9188.118607
B,Base + ILeVO,B4-4,2,39.40334732,9188.118607
B,Base + ILeVO,B4-5,2,43.07135645,1007.53779
B,Base + ILeVO,B4-5,2,43.07135645,1007.53779
B,Base + ILeVO,B4-6,2,40.26199034,5352.937248
B,Base + ILeVO,B4-6,2,40.26199034,5352.937248